,Station,Year,Month,Day,Hour,Temperature,Dew Point,Pressure,Wind Direction,Wind Speed,Sky Condition,Precipitation 6H
1002,2003\010010,2003,2,12,16,-1,-17,10024,40,20,,
1003,2003\010010,2003,2,12,17,5,-20,10018,320,100,,
1004,2003\010010,2003,2,12,18,2,-16,10026,310,90,8,
1005,2003\010010,2003,2,12,19,3,-16,10036,220,30,,
1006,2003\010010,2003,2,12,20,0,-13,10048,120,20,,
1007,2003\010010,2003,2,12,21,0,-13,10055,200,30,,
1008,2003\010010,2003,2,12,22,0,-18,10063,260,50,,
1009,2003\010010,2003,2,12,23,-3,-21,10071,230,30,,
1010,2003\010010,2003,2,13,0,-3,-24,10078,160,20,6,5
1011,2003\010010,2003,2,13,1,-9,-35,10084,260,40,,
1012,2003\010010,2003,2,13,2,-10,-35,10090,250,40,,
1013,2003\010010,2003,2,13,3,-12,-33,10095,140,10,,
1014,2003\010010,2003,2,13,4,-19,-35,10101,50,10,,
1015,2003\010010,2003,2,13,5,-13,-28,10111,250,20,,
1016,2003\010010,2003,2,13,6,-15,-26,10114,210,30,5,
1017,2003\010010,2003,2,13,7,-11,-23,10122,210,50,,
1018,2003\010010,2003,2,13,8,-10,-21,10132,210,60,,
1019,2003\010010,2003,2,13,9,-11,-23,10132,200,40,7,
1020,2003\010010,2003,2,13,10,-7,-17,10136,190,40,,
1021,2003\010010,2003,2,13,11,-5,-17,10143,200,40,,
1022,2003\010010,2003,2,13,12,-10,-19,10142,210,50,7,
1023,2003\010010,2003,2,13,13,-9,-17,10144,190,50,,
1024,2003\010010,2003,2,13,14,-8,-16,10139,180,60,,
1025,2003\010010,2003,2,13,15,-9,-24,10139,190,60,8,
1026,2003\010010,2003,2,13,16,-10,-23,10140,220,50,,
1027,2003\010010,2003,2,13,17,-5,-18,10137,220,30,,
1028,2003\010010,2003,2,13,18,1,-13,10132,210,30,8,
1029,2003\010010,2003,2,13,19,7,-3,10127,120,50,,
1030,2003\010010,2003,2,13,20,12,4,10117,110,60,,
1031,2003\010010,2003,2,13,21,18,11,10110,110,60,,
1032,2003\010010,2003,2,13,22,26,19,10105,220,60,,
1033,2003\010010,2003,2,13,23,16,8,10102,210,30,,
1034,2003\010010,2003,2,14,0,12,5,10095,200,60,8,41
1035,2003\010010,2003,2,14,1,13,7,10092,200,70,,
1036,2003\010010,2003,2,14,2,16,10,10094,210,50,,
1037,2003\010010,2003,2,14,3,14,8,10094,200,70,,
1038,2003\010010,2003,2,14,4,9,4,10096,210,60,,
1039,2003\010010,2003,2,14,5,8,3,10098,210,30,,
1040,2003\010010,2003,2,14,6,8,3,10099,210,70,8,
1041,2003\010010,2003,2,14,7,10,5,10100,210,50,,
1042,2003\010010,2003,2,14,8,9,4,10095,160,30,,
1043,2003\010010,2003,2,14,9,10,5,10086,190,40,8,
1044,2003\010010,2003,2,14,10,9,4,10079,200,60,,
1045,2003\010010,2003,2,14,11,11,6,10076,210,30,,
1046,2003\010010,2003,2,14,12,10,5,10074,210,50,8,41
1047,2003\010010,2003,2,14,13,11,6,10075,200,80,,
1048,2003\010010,2003,2,14,14,9,4,10070,200,70,,
1049,2003\010010,2003,2,14,15,2,-3,10069,210,90,8,
1050,2003\010010,2003,2,14,16,5,0,10071,220,80,,
1051,2003\010010,2003,2,14,17,6,-3,10073,210,60,,
1052,2003\010010,2003,2,14,18,31,-10,10077,250,80,2,
1053,2003\010010,2003,2,14,20,26,-12,10092,230,100,,
1054,2003\010010,2003,2,14,21,11,-3,10097,200,90,,
1055,2003\010010,2003,2,14,22,9,-3,10106,190,70,,
1056,2003\010010,2003,2,14,23,8,-4,10102,170,60,,
1057,2003\010010,2003,2,15,0,10,-2,10096,160,40,7,0
1058,2003\010010,2003,2,15,1,8,-7,10083,110,30,,
1059,2003\010010,2003,2,15,2,12,2,10061,160,80,,
1060,2003\010010,2003,2,15,3,15,7,10041,170,110,,
1061,2003\010010,2003,2,15,4,15,9,10022,180,100,,
1062,2003\010010,2003,2,15,5,17,11,10003,210,90,,
1063,2003\010010,2003,2,15,6,20,13,9980,180,120,8,
1064,2003\010010,2003,2,15,7,20,12,9968,210,70,,
1065,2003\010010,2003,2,15,8,21,11,9962,210,100,,
1066,2003\010010,2003,2,15,9,27,5,9978,240,120,8,
1067,2003\010010,2003,2,15,10,33,-10,9988,240,120,,
1068,2003\010010,2003,2,15,11,30,-2,,240,110,,
1069,2003\010010,2003,2,15,12,28,-3,10009,230,130,7,51
1070,2003\010010,2003,2,15,13,36,-1,10015,250,120,,
1071,2003\010010,2003,2,15,14,34,-1,10024,230,130,,
1072,2003\010010,2003,2,15,15,33,-4,10030,230,120,7,
1073,2003\010010,2003,2,15,16,32,-2,10039,230,140,,
1074,2003\010010,2003,2,15,17,35,-2,10043,240,140,,
1075,2003\010010,2003,2,15,18,31,-2,10052,260,170,7,
1076,2003\010010,2003,2,15,19,14,-11,10059,270,170,,
1077,2003\010010,2003,2,15,20,-3,-19,10090,300,130,,
1078,2003\010010,2003,2,15,21,-10,-21,10080,300,140,,
1079,2003\010010,2003,2,15,22,-5,-22,10094,80,40,,
1080,2003\010010,2003,2,15,23,-1,-22,10095,330,60,,
1081,2003\010010,2003,2,16,0,-5,-19,10111,220,50,8,0
1082,2003\010010,2003,2,16,1,-5,-16,10114,180,20,,
1083,2003\010010,2003,2,16,2,-6,-17,10117,190,20,,
1084,2003\010010,2003,2,16,3,-6,-18,10110,240,10,,
1085,2003\010010,2003,2,16,4,-1,-16,10111,250,30,,
1086,2003\010010,2003,2,16,5,2,-8,10113,240,20,,
1087,2003\010010,2003,2,16,6,7,1,10108,210,30,8,
1088,2003\010010,2003,2,16,7,8,3,10107,200,20,,
1089,2003\010010,2003,2,16,8,9,4,10106,210,40,,
1090,2003\010010,2003,2,16,9,13,9,10108,210,60,9,
1091,2003\010010,2003,2,16,10,12,8,10107,210,40,,
1092,2003\010010,2003,2,16,11,12,8,10107,210,30,,
1093,2003\010010,2003,2,16,12,15,10,10107,220,30,9,
1094,2003\010010,2003,2,16,13,16,11,10101,210,30,,
1095,2003\010010,2003,2,16,14,19,9,10092,210,60,,
1096,2003\010010,2003,2,16,15,22,7,10088,160,110,7,
1097,2003\010010,2003,2,16,16,22,5,10081,150,110,,
1098,2003\010010,2003,2,16,17,23,6,10078,150,80,,
1099,2003\010010,2003,2,16,18,21,6,10070,170,80,8,
1100,2003\010010,2003,2,16,19,22,7,10061,170,90,,
1101,2003\010010,2003,2,17,1,20,6,10032,210,80,,
1102,2003\010010,2003,2,17,2,22,10,10029,190,90,,
1103,2003\010010,2003,2,17,3,22,8,10030,210,80,,
1104,2003\010010,2003,2,17,4,21,8,10029,210,70,,
1105,2003\010010,2003,2,17,5,22,9,10025,210,90,,
1106,2003\010010,2003,2,17,6,20,9,10033,210,100,8,
1107,2003\010010,2003,2,17,7,15,5,10033,200,70,,
1108,2003\010010,2003,2,17,8,12,3,10035,200,50,,
1109,2003\010010,2003,2,17,9,14,5,10030,200,50,8,
1110,2003\010010,2003,2,17,10,15,9,10019,190,70,,
1111,2003\010010,2003,2,17,11,17,10,10012,180,110,,
1112,2003\010010,2003,2,17,12,15,6,10008,190,110,8,
1113,2003\010010,2003,2,17,14,20,-1,10006,200,90,,
1114,2003\010010,2003,2,17,15,32,-27,10020,260,150,4,
1115,2003\010010,2003,2,17,16,30,-35,10038,260,120,,
1116,2003\010010,2003,2,17,17,32,-50,10047,240,70,,
1117,2003\010010,2003,2,17,18,16,-11,10072,230,20,7,
1118,2003\010010,2003,2,17,19,9,-6,10073,140,30,,
1119,2003\010010,2003,2,17,20,,,,190,40,,
1120,2003\010010,2003,2,17,21,10,-1,10058,180,70,,
1121,2003\010010,2003,2,17,22,6,-3,10040,160,30,,
1122,2003\010010,2003,2,17,23,18,10,10027,210,50,,
1123,2003\010010,2003,2,18,0,23,15,10017,210,90,8,41
1124,2003\010010,2003,2,18,1,30,21,10014,210,100,,
1125,2003\010010,2003,2,18,2,34,20,10014,210,130,,
1126,2003\010010,2003,2,18,3,35,20,10010,210,140,,
1127,2003\010010,2003,2,18,4,33,17,10010,210,140,,
1128,2003\010010,2003,2,18,5,33,17,10014,210,140,,
1129,2003\010010,2003,2,18,6,31,15,10018,210,120,8,
1130,2003\010010,2003,2,18,7,26,12,10020,200,110,,
1131,2003\010010,2003,2,18,8,25,11,10021,200,100,,
1132,2003\010010,2003,2,18,9,24,9,10024,200,90,8,
1133,2003\010010,2003,2,18,10,20,7,10024,210,80,,
1134,2003\010010,2003,2,18,11,20,8,10024,200,90,,
1135,2003\010010,2003,2,18,12,22,9,10021,210,90,8,0
1136,2003\010010,2003,2,18,13,25,10,10020,200,90,,
1137,2003\010010,2003,2,18,14,28,13,10023,200,90,,
1138,2003\010010,2003,2,18,15,30,15,10020,210,110,8,
1139,2003\010010,2003,2,18,16,33,16,10020,210,120,,
1140,2003\010010,2003,2,18,17,33,15,10026,210,130,,
1141,2003\010010,2003,2,18,18,38,21,10029,220,150,8,0
1142,2003\010010,2003,2,18,19,34,17,10036,220,120,,
1143,2003\010010,2003,2,18,20,29,15,10050,210,110,,
1144,2003\010010,2003,2,18,21,17,5,10064,220,60,,
1145,2003\010010,2003,2,18,22,15,3,10077,210,60,,
1146,2003\010010,2003,2,18,23,10,0,10087,210,70,,
1147,2003\010010,2003,2,19,0,6,-3,10091,220,40,7,0
1148,2003\010010,2003,2,19,1,4,-4,10103,210,70,,
1149,2003\010010,2003,2,19,2,4,-2,10102,200,30,,
1150,2003\010010,2003,2,19,3,4,-2,10104,200,30,,
1151,2003\010010,2003,2,19,4,4,-1,10103,170,20,,
1152,2003\010010,2003,2,19,5,4,-1,10101,160,30,,
1153,2003\010010,2003,2,19,6,4,-1,10098,180,30,9,
1154,2003\010010,2003,2,19,7,5,-1,10098,200,20,,
1155,2003\010010,2003,2,19,8,9,4,10093,90,20,,
1156,2003\010010,2003,2,19,9,11,5,10092,100,30,8,
1157,2003\010010,2003,2,19,10,16,9,10087,140,20,,
1158,2003\010010,2003,2,19,11,16,7,10084,150,30,,
1159,2003\010010,2003,2,19,12,18,8,10082,180,40,8,10
1160,2003\010010,2003,2,19,13,20,6,10077,200,50,,
1161,2003\010010,2003,2,19,15,22,4,10068,210,70,7,
1162,2003\010010,2003,2,19,18,20,5,10061,190,50,8,
1163,2003\010010,2003,2,19,21,21,7,10049,220,60,,
1164,2003\010010,2003,2,20,0,17,6,10039,210,70,8,0
1165,2003\010010,2003,2,20,1,20,6,10036,220,60,,
1166,2003\010010,2003,2,20,3,19,5,10027,210,60,,
1167,2003\010010,2003,2,20,4,17,5,10023,210,70,,
1168,2003\010010,2003,2,20,6,17,5,10013,200,60,8,0
1169,2003\010010,2003,2,20,7,17,5,10009,200,70,,
1170,2003\010010,2003,2,20,9,21,6,10006,210,100,8,
1171,2003\010010,2003,2,20,10,22,5,10009,210,90,,
1172,2003\010010,2003,2,20,12,22,6,10011,210,70,8,0
1173,2003\010010,2003,2,20,13,20,6,10010,210,70,,
1174,2003\010010,2003,2,20,15,17,6,10003,200,50,8,
1175,2003\010010,2003,2,20,16,17,6,9993,200,50,,
1176,2003\010010,2003,2,20,18,16,6,9986,140,20,8,
1177,2003\010010,2003,2,20,19,21,10,9979,180,30,,
1178,2003\010010,2003,2,20,21,14,1,9967,0,0,,
1179,2003\010010,2003,2,20,22,-11,-21,9961,10,110,,
1180,2003\010010,2003,2,21,0,-24,-36,9966,360,160,8,41
1181,2003\010010,2003,2,21,6,-48,-80,10089,350,110,4,0
1182,2003\010010,2003,2,21,9,-54,-81,10130,340,100,4,
1183,2003\010010,2003,2,21,12,-51,-82,10173,360,40,3,0
1184,2003\010010,2003,2,21,15,-45,-72,10194,300,10,7,
1185,2003\010010,2003,2,21,17,-36,-63,10199,130,50,,
1186,2003\010010,2003,2,21,18,-38,-65,10198,120,50,7,0
1187,2003\010010,2003,2,21,20,-31,-54,10194,120,90,,
1188,2003\010010,2003,2,21,21,-24,-49,10191,130,100,,
1189,2003\010010,2003,2,21,22,-15,-40,10184,130,100,,
1190,2003\010010,2003,2,21,23,-9,-35,10171,120,110,,
1191,2003\010010,2003,2,22,0,-6,-30,10158,100,100,8,0
1192,2003\010010,2003,2,22,2,4,-20,10121,100,110,,
1193,2003\010010,2003,2,22,3,5,-10,10097,100,120,,
1194,2003\010010,2003,2,22,4,7,-2,10069,110,100,,
1195,2003\010010,2003,2,22,5,13,5,10046,110,90,,
1196,2003\010010,2003,2,22,6,19,10,10027,140,100,8,
1197,2003\010010,2003,2,22,7,20,10,10010,160,100,,
1198,2003\010010,2003,2,22,8,22,9,10000,160,120,,
1199,2003\010010,2003,2,22,9,18,1,10001,200,90,8,
1200,2003\010010,2003,2,22,10,19,-1,,210,130,,
1201,2003\010010,2003,2,22,11,20,-6,10003,220,120,,
1202,2003\010010,2003,2,22,12,20,-3,10011,220,130,8,
1203,2003\010010,2003,2,22,13,21,-13,10016,220,150,,
1204,2003\010010,2003,2,22,14,23,-22,10014,230,180,,
1205,2003\010010,2003,2,22,17,9,-46,10029,250,170,,
1206,2003\010010,2003,2,22,18,7,-40,10039,250,150,6,
1207,2003\010010,2003,2,22,19,-3,-42,10047,260,190,,
1208,2003\010010,2003,2,22,21,-20,-47,10070,260,190,,
1209,2003\010010,2003,2,22,22,-25,-49,10089,280,150,,
1210,2003\010010,2003,2,22,23,-28,-50,10110,280,120,,
1211,2003\010010,2003,2,23,0,-30,-51,10122,250,40,6,0
1212,2003\010010,2003,2,23,1,-31,-47,10129,220,30,,
1213,2003\010010,2003,2,23,2,-31,-47,10131,210,40,,
1214,2003\010010,2003,2,23,3,-32,-46,10134,220,40,,
1215,2003\010010,2003,2,23,4,-33,-47,10136,210,50,,
1216,2003\010010,2003,2,23,5,-35,-49,10140,270,60,,
1217,2003\010010,2003,2,23,6,-35,-49,10138,260,40,8,
1218,2003\010010,2003,2,23,7,-33,-49,10138,50,10,,
1219,2003\010010,2003,2,23,8,-33,-51,10139,320,20,,
1220,2003\010010,2003,2,23,9,-37,-56,10138,290,10,5,
1221,2003\010010,2003,2,23,10,-30,-47,10135,90,10,,
1222,2003\010010,2003,2,23,11,-18,-35,10136,230,20,,
1223,2003\010010,2003,2,23,12,-12,-31,10135,270,20,7,0
1224,2003\010010,2003,2,23,15,-6,-24,10129,300,20,7,
1225,2003\010010,2003,2,23,17,-9,-34,10130,250,20,,
1226,2003\010010,2003,2,23,18,-12,-32,10127,40,60,7,0
1227,2003\010010,2003,2,23,19,-16,-32,10128,360,50,,
1228,2003\010010,2003,2,23,20,-16,-34,10128,20,20,,
1229,2003\010010,2003,2,23,21,-15,-35,10126,230,30,,
1230,2003\010010,2003,2,23,23,-12,-29,10126,230,60,,
1231,2003\010010,2003,2,24,0,-9,-28,10128,150,20,8,0
1232,2003\010010,2003,2,24,1,-10,-31,10121,140,20,,
1233,2003\010010,2003,2,24,2,-4,-26,10115,240,30,,
1234,2003\010010,2003,2,24,3,-3,-29,10111,220,40,,
1235,2003\010010,2003,2,24,4,5,-35,10105,90,90,,
1236,2003\010010,2003,2,24,5,2,-15,10102,90,100,,
1237,2003\010010,2003,2,24,6,-2,-17,10098,90,110,8,
1238,2003\010010,2003,2,24,7,-1,-14,10095,90,100,,
1239,2003\010010,2003,2,24,8,3,-11,10094,90,100,,
1240,2003\010010,2003,2,24,9,6,-7,10090,80,100,8,
1241,2003\010010,2003,2,24,10,9,-2,10086,80,90,,
1242,2003\010010,2003,2,24,11,11,-1,10084,90,80,,
1243,2003\010010,2003,2,24,12,13,2,10081,80,80,8,
1244,2003\010010,2003,2,24,13,17,4,10077,100,80,,
1245,2003\010010,2003,2,24,15,17,6,10072,90,60,8,
1246,2003\010010,2003,2,24,16,17,5,10075,100,30,,
1247,2003\010010,2003,2,24,17,18,6,10075,110,20,,
1248,2003\010010,2003,2,24,18,17,6,10076,110,50,8,
1249,2003\010010,2003,2,24,20,18,8,10081,100,50,,
1250,2003\010010,2003,2,24,22,14,6,10085,200,20,,
1251,2003\010010,2003,2,24,23,13,5,10086,210,20,,
1252,2003\010010,2003,2,25,0,10,4,10086,190,30,9,20
1253,2003\010010,2003,2,25,1,12,7,10091,200,50,,
1254,2003\010010,2003,2,25,2,8,3,10095,220,40,,
1255,2003\010010,2003,2,25,3,8,3,10100,220,50,,
1256,2003\010010,2003,2,25,4,7,2,10105,220,60,,
1257,2003\010010,2003,2,25,5,10,5,10110,210,30,,
1258,2003\010010,2003,2,25,6,10,4,10116,210,30,7,
1259,2003\010010,2003,2,25,7,12,4,10117,210,40,,
1260,2003\010010,2003,2,25,8,6,-3,10118,210,20,,
1261,2003\010010,2003,2,25,9,5,-5,10120,290,10,8,
1262,2003\010010,2003,2,25,10,5,-5,10121,210,10,,
1263,2003\010010,2003,2,25,11,7,-2,10120,250,10,,
1264,2003\010010,2003,2,25,12,13,1,10114,190,30,7,0
1265,2003\010010,2003,2,25,13,13,2,10107,190,40,,
1266,2003\010010,2003,2,25,14,10,1,10099,210,30,,
1267,2003\010010,2003,2,25,15,15,8,10091,200,40,9,
1268,2003\010010,2003,2,25,16,16,10,10081,190,50,,
1269,2003\010010,2003,2,25,17,16,10,10073,210,60,,
1270,2003\010010,2003,2,25,18,16,9,10066,210,50,8,
1271,2003\010010,2003,2,25,19,15,9,10055,180,70,,
1272,2003\010010,2003,2,25,20,14,7,10038,150,80,,
1273,2003\010010,2003,2,25,21,5,-2,10024,200,30,,
1274,2003\010010,2003,2,25,22,13,6,10011,120,30,,
1275,2003\010010,2003,2,25,23,13,5,9996,340,20,,
1276,2003\010010,2003,2,26,0,15,7,9985,230,10,8,130
1277,2003\010010,2003,2,26,1,23,16,9973,180,60,,
1278,2003\010010,2003,2,26,2,22,14,9962,200,70,,
1279,2003\010010,2003,2,26,3,21,15,9952,200,60,,
1280,2003\010010,2003,2,26,4,27,21,9939,210,90,,
1281,2003\010010,2003,2,26,5,23,17,9929,200,90,,
1282,2003\010010,2003,2,26,6,24,18,9921,210,90,9,
1283,2003\010010,2003,2,26,7,19,13,9914,200,70,,
1284,2003\010010,2003,2,26,8,9,3,9915,240,30,,
1285,2003\010010,2003,2,26,9,10,3,9918,220,60,7,
1286,2003\010010,2003,2,26,10,15,3,9919,220,50,,
1287,2003\010010,2003,2,26,11,10,-3,9918,190,50,,
1288,2003\010010,2003,2,26,12,8,-2,9920,220,30,7,41
1289,2003\010010,2003,2,26,13,11,-5,9923,250,80,,
1290,2003\010010,2003,2,26,14,-17,-33,9957,350,150,,
1291,2003\010010,2003,2,26,15,-30,-54,9986,350,160,8,
1292,2003\010010,2003,2,26,16,-39,-61,10017,350,130,,
1293,2003\010010,2003,2,26,17,-42,-60,10048,340,120,,
1294,2003\010010,2003,2,26,18,-52,-69,10067,350,100,8,
1295,2003\010010,2003,2,26,19,-64,-86,10086,340,120,,
1296,2003\010010,2003,2,26,20,-68,-95,10102,350,120,,
1297,2003\010010,2003,2,26,21,-73,-102,10120,350,120,,
1298,2003\010010,2003,2,26,22,-78,-110,10135,350,120,,
1299,2003\010010,2003,2,26,23,-83,-120,10143,330,150,,
1300,2003\010010,2003,2,27,0,-86,-122,10154,340,150,3,
1301,2003\010010,2003,2,27,1,-84,-115,10171,350,100,,
1302,2003\010010,2003,2,27,2,-83,-116,10178,340,80,,
1303,2003\010010,2003,2,27,3,-84,-119,10187,350,80,,
1304,2003\010010,2003,2,27,4,-85,-118,10187,360,110,,
1305,2003\010010,2003,2,27,5,-83,-115,10194,360,70,,
1306,2003\010010,2003,2,27,6,-83,-115,10197,360,70,5,
1307,2003\010010,2003,2,27,7,-82,-112,10208,350,40,,
1308,2003\010010,2003,2,27,8,-81,-112,10214,10,50,,
1309,2003\010010,2003,2,27,9,-80,-111,10217,350,40,6,
1310,2003\010010,2003,2,27,10,-74,-103,10225,90,10,,
1311,2003\010010,2003,2,27,11,-70,-100,10224,240,30,,
1312,2003\010010,2003,2,27,12,-68,-99,10226,260,20,7,
1313,2003\010010,2003,2,27,13,-63,-93,10231,40,10,,
1314,2003\010010,2003,2,27,14,-59,-89,10228,250,10,,
1315,2003\010010,2003,2,27,15,-53,-82,10225,290,10,6,
1316,2003\010010,2003,2,27,16,-51,-80,10230,290,10,,
1317,2003\010010,2003,2,27,17,-49,-79,10231,290,10,,
1318,2003\010010,2003,2,27,18,-48,-83,10232,240,20,7,
1319,2003\010010,2003,2,27,19,-46,-80,10236,150,40,,
1320,2003\010010,2003,2,27,20,-48,-83,10240,140,30,,
1321,2003\010010,2003,2,27,21,-53,-90,10243,150,30,,
1322,2003\010010,2003,2,27,22,-52,-87,10244,160,50,,
1323,2003\010010,2003,2,27,23,-50,-84,10245,180,40,,
1324,2003\010010,2003,2,28,0,-49,-83,10246,170,30,7,0
1325,2003\010010,2003,2,28,1,-49,-82,10247,140,30,,
1326,2003\010010,2003,2,28,2,-48,-82,10248,160,40,,
1327,2003\010010,2003,2,28,3,-50,-85,10246,190,40,,
1328,2003\010010,2003,2,28,4,-49,-84,10244,170,40,,
1329,2003\010010,2003,2,28,5,-50,-85,10245,140,40,,
1330,2003\010010,2003,2,28,6,-47,-79,10244,150,40,7,0
1331,2003\010010,2003,2,28,7,-44,-75,10243,150,50,,
1332,2003\010010,2003,2,28,8,-40,-71,10240,150,50,,
1333,2003\010010,2003,2,28,9,-36,-70,10239,160,50,7,
1334,2003\010010,2003,2,28,10,-33,-67,,160,60,,
1335,2003\010010,2003,2,28,11,-27,-58,10237,150,60,,
1336,2003\010010,2003,2,28,12,-21,-56,10232,150,50,7,0
1337,2003\010010,2003,2,28,13,-15,-53,10226,170,60,,
1338,2003\010010,2003,2,28,14,-10,-49,10221,160,70,,
1339,2003\010010,2003,2,28,15,-6,-48,10215,150,70,7,
1340,2003\010010,2003,2,28,16,-3,-39,10208,160,60,,
1341,2003\010010,2003,2,28,17,0,-31,10204,150,60,,
1342,2003\010010,2003,2,28,18,0,-32,10199,140,60,7,0
1343,2003\010010,2003,2,28,19,2,-33,10193,110,60,,
1344,2003\010010,2003,2,28,20,4,-31,10189,110,60,,
1345,2003\010010,2003,2,28,21,6,-20,10183,110,70,,
1346,2003\010010,2003,2,28,22,4,-16,10183,200,30,,
1347,2003\010010,2003,2,28,23,5,-20,10178,130,70,,
1348,2003\010010,2003,3,1,0,5,-17,10175,120,60,7,0
1349,2003\010010,2003,3,1,1,5,-15,10170,100,40,,
1350,2003\010010,2003,3,1,2,10,-12,10163,190,20,,
1351,2003\010010,2003,3,1,3,10,-7,10157,190,30,,
1352,2003\010010,2003,3,1,4,10,-3,10153,110,70,,
1353,2003\010010,2003,3,1,5,10,-2,10149,120,70,,
1354,2003\010010,2003,3,1,6,10,-1,10147,200,30,7,0
1355,2003\010010,2003,3,1,7,15,3,10144,220,30,,
1356,2003\010010,2003,3,1,8,18,7,10143,220,40,,
1357,2003\010010,2003,3,1,9,15,5,10143,220,40,8,
1358,2003\010010,2003,3,1,10,14,2,10142,200,40,,
1359,2003\010010,2003,3,1,11,17,2,10141,200,40,,
1360,2003\010010,2003,3,1,12,15,-2,10138,220,30,7,0
1361,2003\010010,2003,3,1,13,25,1,10134,230,50,,
1362,2003\010010,2003,3,1,14,25,-1,10130,220,30,,
1363,2003\010010,2003,3,1,15,21,-4,10126,210,20,8,
1364,2003\010010,2003,3,1,16,20,-2,10123,200,30,,
1365,2003\010010,2003,3,1,17,20,-2,10123,180,50,,
1366,2003\010010,2003,3,1,18,20,-1,10123,200,30,7,0
1367,2003\010010,2003,3,1,19,20,-3,10121,210,30,,
1368,2003\010010,2003,3,1,20,13,-5,10119,200,30,,
1369,2003\010010,2003,3,1,21,11,-4,10115,160,30,,
1370,2003\010010,2003,3,1,22,13,-2,10112,140,40,,
1371,2003\010010,2003,3,1,23,13,-2,10110,210,30,,
1372,2003\010010,2003,3,2,0,13,9,,200,30,8,
1373,2003\010010,2003,3,2,1,20,8,10107,210,20,,
1374,2003\010010,2003,3,2,2,20,9,10101,200,30,,
1375,2003\010010,2003,3,2,3,24,10,10099,200,40,,
1376,2003\010010,2003,3,2,4,23,9,10095,220,20,,
1377,2003\010010,2003,3,2,5,23,8,10092,170,20,,
1378,2003\010010,2003,3,2,6,19,5,10090,340,20,8,
1379,2003\010010,2003,3,2,7,17,5,10088,30,10,,
1380,2003\010010,2003,3,2,8,15,3,10089,200,10,,
1381,2003\010010,2003,3,2,9,17,8,10090,230,20,8,
1382,2003\010010,2003,3,2,10,22,13,10090,220,20,,
1383,2003\010010,2003,3,2,11,14,6,10088,150,20,,
1384,2003\010010,2003,3,2,12,15,7,10086,200,30,8,8
1385,2003\010010,2003,3,2,13,19,11,10086,190,20,,
1386,2003\010010,2003,3,2,14,20,13,10086,220,40,,
1387,2003\010010,2003,3,2,15,21,13,10085,220,40,8,
1388,2003\010010,2003,3,2,16,20,11,10084,180,40,,
1389,2003\010010,2003,3,2,17,20,10,10083,180,30,,
1390,2003\010010,2003,3,2,18,21,10,10082,200,30,7,
1391,2003\010010,2003,3,2,19,21,5,10083,210,20,,
1392,2003\010010,2003,3,2,20,17,1,10083,190,20,,
1393,2003\010010,2003,3,2,21,14,2,10083,140,20,,
1394,2003\010010,2003,3,2,22,19,9,10080,100,50,,
1395,2003\010010,2003,3,2,23,21,12,10079,110,70,,
1396,2003\010010,2003,3,3,0,18,9,10079,100,40,8,
1397,2003\010010,2003,3,3,1,19,10,10076,90,40,,
1398,2003\010010,2003,3,3,2,22,14,10076,280,30,,
1399,2003\010010,2003,3,3,3,14,6,10077,200,10,,
1400,2003\010010,2003,3,3,4,12,5,10077,200,20,,
1401,2003\010010,2003,3,3,5,9,3,10076,210,30,,
1402,2003\010010,2003,3,3,6,11,4,10077,220,10,7,
1403,2003\010010,2003,3,3,7,13,6,10054,200,10,,
1404,2003\010010,2003,3,3,8,16,8,10078,230,30,,
1405,2003\010010,2003,3,3,9,15,4,10079,180,20,8,
1406,2003\010010,2003,3,3,10,16,7,10079,110,30,,
1407,2003\010010,2003,3,3,11,15,7,10078,100,60,,
1408,2003\010010,2003,3,3,12,17,10,10077,100,50,8,5
1409,2003\010010,2003,3,3,13,19,12,10078,90,30,,
1410,2003\010010,2003,3,3,14,18,11,10073,80,40,,
1411,2003\010010,2003,3,3,15,20,13,10069,90,50,8,
1412,2003\010010,2003,3,3,16,16,9,10068,100,30,,
1413,2003\010010,2003,3,3,17,12,5,10067,170,10,,
1414,2003\010010,2003,3,3,18,11,5,10068,180,10,8,
1415,2003\010010,2003,3,3,19,14,7,10068,130,30,,
1416,2003\010010,2003,3,3,20,14,7,10067,130,40,,
1417,2003\010010,2003,3,3,21,10,4,10071,230,20,,
1418,2003\010010,2003,3,3,22,11,5,10072,150,20,,
1419,2003\010010,2003,3,3,23,12,5,10049,210,20,,
1420,2003\010010,2003,3,4,0,16,9,10075,220,10,8,20
1421,2003\010010,2003,3,4,1,16,9,10073,0,0,,
1422,2003\010010,2003,3,4,2,17,9,10073,320,10,,
1423,2003\010010,2003,3,4,3,18,10,10074,150,10,,
1424,2003\010010,2003,3,4,4,17,9,10075,30,10,,
1425,2003\010010,2003,3,4,5,21,12,10075,310,10,,
1426,2003\010010,2003,3,4,6,24,15,10077,20,20,7,
1427,2003\010010,2003,3,4,7,24,14,10080,310,10,,
1428,2003\010010,2003,3,4,8,20,9,10086,190,10,,
1429,2003\010010,2003,3,4,9,13,3,10091,230,10,8,
1430,2003\010010,2003,3,4,10,,,,140,10,,
1431,2003\010010,2003,3,4,11,4,-4,10107,0,0,,
1432,2003\010010,2003,3,4,12,5,-3,10113,310,10,8,20
1433,2003\010010,2003,3,4,13,9,1,10117,220,10,,
1434,2003\010010,2003,3,4,14,14,6,10121,40,10,,
1435,2003\010010,2003,3,4,15,14,6,10123,90,20,6,
